"class","validName","stage","X","buoyancy","capsule","chlb","chlc","Coloniales","DMS","feeding_strategy","Forme","fyco","motility","nfix","Parasitic","Symbiosis_bacterienne","Taille.um.","Toxines"
"Dictyochophyceae","Pseudopedinella",NA,NA,NA,NA,NA,NA,NA,"0","auto",NA,NA,"1",NA,NA,NA,"11",NA
"Dinophyceae","Amphidinium",NA,NA,NA,NA,NA,NA,NA,"1","mixo",NA,NA,"1",NA,NA,NA,"30",NA
"Dinophyceae","Amphidoma",NA,NA,NA,"theca",NA,"1",NA,"1","mixo","ovoid",NA,"1",NA,NA,NA,"14",NA
"Dinophyceae","Azadinium",NA,NA,NA,NA,NA,NA,NA,"1","mixo","ellipsoid",NA,"1",NA,"0",NA,"15","0.5"
"Dinophyceae","Biecheleria",NA,NA,NA,NA,NA,NA,NA,"1","mixo",NA,NA,"1","0",NA,NA,"35","0"
"Dinophyceae","Chytriodinium",NA,NA,NA,NA,"0","0","chain","1","hetero","ellipsoide","0","1","0","1",NA,"70","0"
"Dinophyceae","Cochlodinium",NA,NA,"0",NA,"0","0","chain","1","mixo","circumscribing","0","1","0","0",NA,"25","1"
"Dinophyceae","Dinophysis","asexual",NA,"0","theca","0","1","0","1","mixo","flattened ellipsoid","0","1","0","0",NA,"40","1"
"Dinophyceae","Gonyaulax",NA,NA,"0",NA,"0","1",NA,"1","mixo","Cone + half sphere","0","1","0","0",NA,"40","1"
"Dinophyceae","Gymnodinium",NA,NA,"0",NA,"0","1",NA,"1","mixo","flattened ellipsoid","0","1","0","0",NA,"70","1"
"Dinophyceae","Gyrodinium",NA,NA,"0",NA,"0","1",NA,"1","mixo","flattened ellipsoid","0","1","0",NA,NA,"40","0"
"Dinophyceae","Halostylodinium",NA,NA,NA,NA,NA,NA,NA,"1","auto","Rotational ellipsoid",NA,"1","0",NA,NA,"35","0"
"Dinophyceae","Heterocapsa",NA,NA,"0","theca","0","1","0","1","mixo","Two cones","0","1","0","0",NA,"23","1"
"Dinophyceae","Islandinium",NA,NA,NA,NA,"0","0",NA,"1","hetero","spherical","0","1","0",NA,NA,"30","0"
"Dinophyceae","Karlodinium",NA,NA,NA,NA,NA,NA,NA,"1","mixo","oval",NA,"1",NA,"0",NA,"17","1"
"Dinophyceae","Katodinium",NA,NA,"0",NA,"0","1",NA,"1","mixo",NA,"0","1","0",NA,NA,"25",NA
"Dinophyceae","Neoceratium",NA,NA,NA,NA,NA,NA,NA,"1","mixo","concave with a spine ( tetard)",NA,"0","0",NA,NA,"200","0"
"Dinophyceae","Oxyphysis",NA,NA,NA,NA,"0","0",NA,"1","hetero","ellipso�dal","0","1","0",NA,NA,"60","0"
"Dinophyceae","Paragymnodinium",NA,NA,NA,NA,NA,NA,NA,"1","mixo","sphere",NA,"1","0",NA,NA,"12","0"
"Dinophyceae","Pelagodinium",NA,NA,NA,NA,NA,NA,NA,"1","mixo","flattened ellipsoid",NA,"1","0",NA,NA,"10","0"
"Dinophyceae","Peridiniella",NA,NA,NA,NA,NA,NA,NA,"1","auto",NA,NA,"1",NA,NA,NA,"20",NA
