"","stat.lss","stat.centre","stat.greenland","lowerCI.lss","lowerCI.centre","lowerCI.greenland","upperCI.lss","upperCI.centre","upperCI.greenland"
"(0.2,2]",0.0868271172705544,0.365950959324739,-0.452778076595294,-0.549846413430675,-0.113195655804445,-0.938547967054973,0.608870344502884,0.727919399236882,0.151275563795426
"(2,5]",0.788280064393657,-0.242571973009706,-0.545708091383951,0.521510516985229,-0.452029445234329,-0.801470874682626,0.955911207883674,0.185676990547443,-0.391440153988113
"(5,10]",-0.527046473007568,-0.099912685553222,0.626959158560791,-0.845218993750506,-0.478887286449916,-0.907588987714603,0.386056295790364,0.685693734478222,0.897113443019738
"(10,20]",0.157263192711747,0.272055051533898,-0.429318244245644,-0.754209606207767,-0.35458017210251,-0.957618107473528,0.618326519295332,0.703038525511501,0.53121966364348
"(20,Inf]",0.135138333023651,0.0165262899916388,-0.151664623015287,-0.772767896870075,-0.433244850064547,-0.98223502686536,0.824337823014416,0.651993988048249,0.498630048196343
