"","stat.2014","stat.2015","stat.2016","lowerCI.2014","lowerCI.2015","lowerCI.2016","upperCI.2014","upperCI.2015","upperCI.2016"
"(0.2,2]",-0.193781821776237,-0.223593399579245,0.417375221355483,-0.637581684384447,-0.617901894422606,-0.156449819756044,0.388930358663904,0.16208247075368,0.828824739341331
"(2,5]",0.042900794616189,-0.266021039665771,0.223120245049582,-0.616937477096867,-0.681405806645101,-0.258142785291167,0.601870377163981,0.317426848901293,0.750822885276859
"(5,10]",0.0946896218000319,0.515592083096872,-0.610281704896904,-0.452353201509397,0.124358035597871,-0.864384080122009,0.617145590502669,0.867699859447602,-0.247864872539423
"(10,20]",-0.588255158411547,0.128345120817542,0.459910037594007,-0.859271948352636,-0.463998663582716,0.0860112731355098,-0.180589914560957,0.569698183140563,0.815750909067854
"(20,Inf]",0.298439504467816,-0.462426683223826,0.163987178756011,-0.154441140869897,-0.782160311436125,-0.423835300249812,0.788975763346954,-0.0831616049058258,0.617551065067909
