,2190,0,0,1825,2190,0,0,1460,0,0,1825,0,1825,1825,0
,0,0,0,0,0,0,0,0,0,0,1825,0,0,0,0
Katodinium,0,0,0,0,0,0,0,730,0,0,1825,0,0,0,0
Proterythropsis,730,0,730,0,1460,1825,0,0,0,730,0,0,0,0,0
Torodinium,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0
Gonyaulax,0,0,730,1825,0,0,0,0,0,0,0,0,0,0,0
Heterocapsa,2920,730,0,1825,730,0,2190,0,3650,0,1825,5475,0,0,0
Heterocapsa,0,0,0,0,730,0,0,0,0,0,0,0,0,0,0
Peridiniella,730,0,0,0,730,0,0,730,1825,0,0,0,0,0,0
Peridiniella,0,0,730,0,0,0,0,0,0,0,0,0,0,0,0
Prorocentrum,21170,0,1460,5475,1460,0,730,16060,25550,5110,32850,9125,20075,10950,1825
Prorocentrum,0,0,0,0,0,0,0,730,0,0,0,0,0,1825,0
Protoperidinium,0,0,730,1825,1460,0,0,0,0,0,1825,0,0,0,0
Protoperidinium,0,0,0,1825,0,0,0,0,0,0,0,0,0,0,0
Protoperidinium,1460,0,0,0,2920,0,0,0,0,0,0,0,0,0,0
Protoperidinium,0,0,0,0,0,0,0,0,1825,0,0,0,0,0,0
,0,0,0,0,0,0,0,5110,0,0,0,0,0,0,0
Dinophyceae,4380,0,0,0,10950,3650,1460,5110,3650,730,0,0,1825,0,0
Dinophyceae,0,0,2190,0,0,0,0,0,0,0,0,0,1825,1825,0
Dinophyceae,0,0,0,0,0,0,0,0,1825,0,0,1825,0,0,0
Dinophyceae,8030,2190,2920,3650,6570,0,3650,8030,10950,2190,14600,5475,3650,1825,0
Dinophyceae,5110,1460,730,0,730,0,0,0,1825,730,1825,0,0,0,0
Dinophyceae,0,0,0,0,0,0,0,0,0,0,0,0,0,1825,0
Chlamydomonas,0,0,0,0,0,0,730,0,0,0,0,0,0,0,0
,0,0,0,0,0,0,0,0,0,0,1825,0,0,3650,0
Dinobryon,730,0,0,0,730,0,0,0,0,0,0,0,0,0,0
